samples	plant_age	OTU_9208	OTU_2	OTU_321	OTU_44	OTU_7	OTU_8933	OTU_370	OTU_120	OTU_61	OTU_10911
s1	1	6.89E-05	0.036113025	0.00103377	0.003514817	0.009510682	0.000206754	0.000758098	0.001791868	0.003032391	0.003514817
s2	4	0.000482426	0.046175052	0.00068918	0.002618884	0.009303928	0.000137836	0.000551344	0.001585114	0.001860786	0.003514817
s3	7	0.00068918	0.096209511	0.00068918	0.003032391	0.011578222	0.000275672	0.000482426	0.00137836	0.00172295	0.003239145
s4	10	0.00068918	0.101654032	0.00068918	0.004824259	0.008270159	0.000551344	0.00068918	0.00103377	0.00206754	0.002343212
s5	13	0.00103377	0.129290145	0.000964852	0.003859407	0.007580979	0.000620262	0.000620262	0.00172295	0.00172295	0.001585114
s6	16	0.00034459	0.074017919	0.00068918	0.002205376	0.007994487	0.000275672	0.000551344	0.00137836	0.001654032	0.002618884
s7	19	0.000551344	0.08015162	0.00068918	0.004066161	0.009717436	0.000413508	0.00068918	0.000758098	0.001102688	0.001654032
s8	22	0.00034459	0.073190903	0.000758098	0.002274294	0.008683666	0.000275672	0.000551344	0.001654032	0.001654032	0.002343212
s9	25	0.000964852	0.13115093	0.00103377	0.002618884	0.008132323	0.000551344	0.00034459	0.00068918	0.000964852	0.001998622
s10	28	0.000551344	0.09007581	0.001240524	0.002825637	0.006271537	0.000275672	0.000275672	0.000551344	0.000413508	0.001791868
s11	31	0.001240524	0.170709855	0.000758098	0.002687802	0.007512061	0.000895934	0.000275672	0.000964852	0.000895934	0.003514817
s12	34	0.00103377	0.175465196	0.00103377	0.002894555	0.009441764	0.000758098	0.00034459	0.000827016	0.001240524	0.002343212
s13	37	0.000827016	0.110751206	0.00068918	0.001860786	0.009441764	0.000275672	0.000551344	0.000827016	0.000827016	0.001309442
s14	40	0.000895934	0.157753274	0.001102688	0.002136458	0.008614748	0.00068918	0.000482426	0.001171606	0.001447278	0.002274294
s15	43	0.000827016	0.148311509	0.000758098	0.002549966	0.007305307	0.00068918	0.00068918	0.001102688	0.00137836	0.00137836
s16	46	0.001102688	0.166850448	0.000482426	0.002205376	0.006891799	0.000827016	0.000206754	0.000620262	0.001102688	0.001791868
s17	49	0.00103377	0.170985527	0.00068918	0.002549966	0.008614748	0.000758098	0.000482426	0.00068918	0.00103377	0.001102688
s18	52	0.001585114	0.18015162	0.000620262	0.00206754	0.007098553	0.000758098	0.00034459	0.000413508	0.000827016	0.001585114
s19	55	0.001171606	0.168780152	0.000620262	0.00172295	0.007925569	0.000482426	0.000275672	0.000482426	0.000551344	0.001309442
s20	58	0.001585114	0.243418332	0.000413508	0.001860786	0.008339076	0.001171606	0.000413508	0.000827016	0.000895934	0.001791868
s21	61	0.002136458	0.279738112	0.000482426	0.002205376	0.009303928	0.001171606	0.000551344	0.00068918	0.000620262	0.001860786
s22	64	0.001791868	0.2773949	0.00034459	0.001171606	0.007512061	0.000964852	0.000758098	0.00034459	0.00068918	0.001585114
s23	67	0.002136458	0.311026878	0.000620262	0.002549966	0.011095796	0.001447278	0.000482426	0.000551344	0.000827016	0.001102688
s24	70	0.00034459	0.058787043	0.000758098	0.001516196	0.004135079	0.000206754	0.00034459	0.000413508	0.00034459	0.00068918
s25	73	0.002549966	0.299104066	0.000551344	0.002205376	0.005375603	0.001171606	0.000206754	0.000413508	0.000275672	0.001309442
s26	76	0.001791868	0.292419021	0.000482426	0.001654032	0.006064783	0.00137836	0.000413508	0.000620262	0.000413508	0.000895934
s27	79	0.00172295	0.264507236	0.000482426	0.00103377	0.004066161	0.00103377	0.000206754	0.000413508	0.000137836	0.00068918
s28	82	0.00275672	0.336457615	0.000551344	0.001516196	0.007512061	0.000964852	0.000206754	0.000275672	0.000413508	0.000895934
s29	85	0.00275672	0.403721571	0.000551344	0.001654032	0.005582357	0.00137836	0.000206754	0.000895934	0.00034459	0.000758098
s30	88	0.002274294	0.291040662	0.000551344	0.001171606	0.004479669	0.000964852	0.00034459	0.000206754	0.000482426	0.000964852
s31	91	0.003239145	0.426257753	0.000482426	0.00103377	0.004341833	0.00137836	0.000275672	0.00034459	0.000551344	0.000551344
s32	94	0.002274294	0.355065472	0.000413508	0.000413508	0.003445899	0.001654032	0.000137836	6.89E-05	0.000206754	0.000413508
s33	97	0.003101309	0.502687802	0.000413508	0.000620262	0.005858029	0.002343212	0.000275672	0.000137836	0.000413508	0.00103377
s34	100	0.003514817	0.545623708	0.00034459	0.000758098	0.004066161	0.00206754	0.000275672	0.000137836	0.000275672	0.000482426
s35	103	0.003376981	0.427429359	0.000413508	0.001447278	0.003514817	0.00137836	6.89E-05	0.000137836	0.000137836	0.000413508
s36	106	0.004066161	0.522398346	0.000275672	0.000620262	0.004066161	0.00172295	0.000206754	0.000206754	0.000206754	0.000551344
s37	109	0.003859407	0.568917988	0.00034459	0.00103377	0.004066161	0.001860786	0.000137836	0.000206754	0.000275672	0.000413508
s38	112	0.003583735	0.561681599	0.00034459	0.000620262	0.005858029	0.00206754	0	6.89E-05	0.000275672	0.001102688
s39	115	0.003376981	0.594141971	0.00034459	0.000275672	0.003583735	0.002687802	0.000275672	6.89E-05	0.000275672	0.000620262
s40	118	0.004135079	0.650585803	0.00034459	0.00068918	0.00241213	0.002136458	0.000137836	0.000137836	6.89E-05	0.000413508
s41	121	0.004479669	0.655410062	0.000275672	0.000551344	0.002687802	0.002481048	0	0.000206754	6.89E-05	0.00034459
